Neighborhood,District,City,State,Latitude,Longitude,Full Address
Acres Home,Northwest,Houston,Texas,29.870719,-95.436543,"Acres Home, Houston, Texas "
Addicks,West,Houston,Texas,29.8132687,-95.6454759,"Addicks, Houston, Texas "
Afton Oaks,West,Houston,Texas,29.7368538,-95.4532482,"Afton Oaks, Houston, Texas "
Alief,Southwest,Houston,Texas,29.6827204,-95.593239,"Alief, Houston, Texas "
Astrodome Area,South,Houston,Texas,29.6852077,-95.4032257,"Astrodome Area, Houston, Texas "
Braeburn,Southwest,Houston,Texas,29.6768908,-95.5283682,"Braeburn, Houston, Texas "
Braeswood,Southwest,Houston,Texas,29.6896577,-95.4400613,"Braeswood, Houston, Texas "
Brays Oaks ,Southwest,Houston,Texas,29.6557112,-95.5280193,"Brays Oaks,  Houston, Texas "
Briar Forest,West,Houston,Texas,29.747835,-95.5872933,"Briar Forest, Houston, Texas "
Carverdale,Northwest,Houston,Texas,29.8587078,-95.545162,"Carverdale, Houston, Texas "
Central Northwest ,Northwest,Houston,Texas,29.8327499,-95.4448031,"Central Northwest,  Houston, Texas "
Central Southwest,South,Houston,Texas,29.6282415,-95.4307937,"Central Southwest, Houston, Texas "
Clear Lake,Southeast,Houston,Texas,29.585736,-95.1327829,"Clear Lake, Houston, Texas "
Clinton Park,East,Houston,Texas,29.740506,-95.2574352,"Clinton Park, Houston, Texas "
Denver Harbor,East,Houston,Texas,29.7743832,-95.3011399,"Denver Harbor, Houston, Texas "
Downtown,Downtown,Houston,Texas,29.7559698,-95.3573194,"Downtown, Houston, Texas "
East Houston,Northeast,Houston,Texas,29.8296699,-95.2699349,"East Houston, Houston, Texas "
East Little York,Northeast,Houston,Texas,29.8714094,-95.3005979,"East Little, York Houston, Texas"
Edgebrook,Southeast,Houston,Texas,29.6453933,-95.2265511,"Edgebrook, Houston, Texas "
El Dorado,Northeast,Houston,Texas,29.8051519,-95.24051,"El Dorado, Houston, Texas "
Eldridge,West,Houston,Texas,29.7324375,-95.6480151,"Eldridge, Houston, Texas "
Fairbanks ,Northwest,Houston,Texas,29.8527259,-95.5243864,"Fairbanks,  Houston, Texas "
Fondren Gardens,Southwest,Houston,Texas,29.6263258,-95.5012732,"Fondren Gardens, Houston, Texas "
Fort Bend,Southwest,Houston,Texas,29.5692614,-95.8142885,"Fort Bend, Houston, Texas "
Fourth Ward,West,Houston,Texas,29.7579028,-95.3808683,"Fourth Ward, Houston, Texas "
Golfcrest,Southeast,Houston,Texas,29.6851528,-95.2963115,"Golfcrest, Houston, Texas "
Greater Eastwood,Southeast,Houston,Texas,29.7357018,-95.3339582,"Greater Eastwood, Houston, Texas "
Greater Fifth Ward,Northeast,Houston,Texas,29.7761332,-95.32645,"Greater Fifth Ward, Houston, Texas "
Greater Greenspoint,North,Houston,Texas,29.9406789,-95.4139056,"Greater Greenspoint, Houston, Texas "
Greater Heights,Northwest,Houston,Texas,29.7962142,-95.399105,"Greater Heights, Houston, Texas "
Greater Hobby Area,Southeast,Houston,Texas,29.6254107,-95.2854369,"Greater Hobby Area, Houston, Texas "
Greater Inwood,Northwest,Houston,Texas,29.8657387,-95.4804344,"Greater Inwood, Houston, Texas "
Greater OST,Southeast,Houston,Texas,29.6911506,-95.3528565,"Greater OST, Houston, Texas "
Greater Third Ward,South,Houston,Texas,29.7278316,-95.3499071,"Greater Third Ward, Houston, Texas "
Greater Uptown,West,Houston,Texas,29.7462508,-95.4617071,"Greater Uptown, Houston, Texas "
Greenway,Southwest,Houston,Texas,29.7326743,-95.4332335,"Greenway, Houston, Texas "
Gulfgate Riverview,Southeast,Houston,Texas,29.708621,-95.3167989,"Gulfgate Riverview, Houston, Texas "
Gulfton,Southwest,Houston,Texas,29.7164567,-95.4805999,"Gulfton, Houston, Texas "
Harrisburg,Southeast,Houston,Texas,29.7185281,-95.2601563,"Harrisburg, Houston, Texas "
Hidden Valley,North,Houston,Texas,29.8896157,-95.4181974,"Hidden Valley, Houston, Texas "
Hunterwood,Northeast,Houston,Texas,29.8165393,-95.2136187,"Hunterwood, Houston, Texas "
IAH Airport,North,Houston,Texas,29.9902199,-95.3367827,"IAH Airport, Houston, Texas "
Independence Heights,North,Houston,Texas,29.8284167,-95.3977159,"Independence Heights, Houston, Texas "
Jensen,Northeast,Houston,Texas,29.8481524,-95.3429072,"Jensen, Houston, Texas "
Kashmere Gardens,Northeast,Houston,Texas,29.8003861,-95.3169786,"Kashmere Gardens, Houston, Texas "
Kingwood,Northeast,Houston,Texas,30.0500255,-95.1844774,"Kingwood, Houston, Texas "
Lake Houston,Northeast,Houston,Texas,29.9723669,-95.1379946,"Lake Houston, Houston, Texas "
Langwood,Northwest,Houston,Texas,29.8259722,-95.4936915,"Langwood, Houston, Texas "
Lawndale,Southeast,Houston,Texas,29.7247703,-95.3112419,"Lawndale, Houston, Texas "
Lazybrook,Northwest,Houston,Texas,29.8016005,-95.438085,"Lazybrook, Houston, Texas "
MacGregor,Southeast,Houston,Texas,29.7102924,-95.3563212,"MacGregor, Houston, Texas "
Magnolia Park,East,Houston,Texas,29.7371714,-95.2924745,"Magnolia Park, Houston, Texas "
Meadowbrook,Southeast,Houston,Texas,29.6874666,-95.2461412,"Meadowbrook, Houston, Texas "
Medical Center,South,Houston,Texas,29.7066013,-95.399047,"Medical Center, Houston, Texas "
Memorial,West,Houston,Texas,29.7725574,-95.575926,"Memorial, Houston, Texas "
Meyerland,Southwest,Houston,Texas,29.686582,-95.4647224,"Meyerland, Houston, Texas "
Mid-West ,West,Houston,Texas,29.7374609,-95.5142195,"Mid-West,  Houston, Texas "
Midtown,South,Houston,Texas,29.740795,-95.3756344,"Midtown, Houston, Texas "
Minnetex,South,Houston,Texas,29.6256264,-95.3239403,"Minnetex, Houston, Texas "
Museum Park,South,Houston,Texas,29.725934,-95.3831509,"Museum Park, Houston, Texas "
Neartown,Southwest,Houston,Texas,29.742668,-95.3991888,"Neartown, Houston, Texas "
Northshore,East,Houston,Texas,29.7758059,-95.2182628,"Northshore, Houston, Texas "
Northside,North,Houston,Texas,29.8411303,-95.410934,"Northside, Houston, Texas "
Northside Village,North,Houston,Texas,29.8033011,-95.3610391,"Northside Village, Houston, Texas "
Park Place,Southeast,Houston,Texas,29.6950953,-95.2646733,"Park Place, Houston, Texas "
Pecan Park,Southeast,Houston,Texas,29.7064733,-95.286076,"Pecan Park, Houston, Texas "
Pleasantville Area,East,Houston,Texas,29.7708418,-95.2729257,"Pleasantville Area, Houston, Texas "
Second Ward,East,Houston,Texas,29.7510926,-95.3240014,"Second Ward, Houston, Texas "
Settegast,Northeast,Houston,Texas,29.8153931,-95.2809456,"Settegast, Houston, Texas "
Sharpstown,Southwest,Houston,Texas,29.7051747,-95.5212898,"Sharpstown, Houston, Texas "
South Acres,South,Houston,Texas,29.6276396,-95.3556233,"South Acres, Houston, Texas "
South Belt,Southeast,Houston,Texas,29.6015354,-95.2160675,"South Belt, Houston, Texas "
South Main,South,Houston,Texas,29.6725728,-95.4201377,"South Main, Houston, Texas "
South Park,South,Houston,Texas,29.6663268,-95.3372099,"South Park, Houston, Texas "
Spring Branch Central,Northwest,Houston,Texas,29.8110812,-95.5095815,"Spring Branch, Central Houston, Texas "
Spring Branch East,Northwest,Houston,Texas,29.7908472,-95.5446297,"Spring Branch, East Houston, Texas "
Spring Branch North,Northwest,Houston,Texas,29.8227034,-95.5452559,"Spring Branch, North Houston, Texas "
Spring Branch West,West,Houston,Texas,29.7908472,-95.5446297,"Spring Branch, West Houston, Texas "
Sunnyside,South,Houston,Texas,29.6641199,-95.3679941,"Sunnyside, Houston, Texas "
Trinity,Northeast,Houston,Texas,29.8313761,-95.3020313,"Trinity, Houston, Texas "
University Place,Southwest,Houston,Texas,29.718548,-95.4089487,"University Place, Houston, Texas "
Washington Avenue Coalition,West,Houston,Texas,29.7770697,-95.4354935,"Washington Avenue Coalition, Houston, Texas "
Westbranch,West,Houston,Texas,29.8382464,-95.5520192,"Westbranch, Houston, Texas "
Westbury,Southwest,Houston,Texas,29.6536089,-95.4804133,"Westbury, Houston, Texas "
Westchase,West,Houston,Texas,29.7277555,-95.5716617,"Westchase, Houston, Texas "
Westwood,Southwest,Houston,Texas,29.6753259,-95.5502207,"Westwood, Houston, Texas "
Willow Meadows,Southwest,Houston,Texas,29.6733001,-95.4398826,"Willow Meadows, Houston, Texas "
Willowbrook,Northwest,Houston,Texas,29.9558598,-95.5459787,"Willowbrook, Houston, Texas "
